482.357	1	188
482.490	1	209
482.624	1	223
482.758	1	213
482.892	1	227
483.025	1	238
483.159	1	233
483.293	1	241
483.426	1	219
483.560	1	200
483.694	1	185
483.827	1	200
483.961	1	236
484.095	1	187
484.228	1	177
484.362	1	173
484.496	1	173
484.629	1	179
484.763	1	210
484.897	1	203
485.030	1	195
485.164	1	192
485.297	1	192
485.431	1	201
485.565	1	200
485.698	1	213
485.832	1	231
485.965	1	184
486.099	1	181
486.233	1	214
486.366	1	198
486.500	1	195
486.633	1	200
486.767	1	195
486.900	1	173
487.034	1	176
487.167	1	203
487.301	1	200
487.434	1	175
487.568	1	187
487.701	1	176
487.835	1	161
487.968	1	189
488.102	1	183
488.235	1	185
488.369	1	179
488.502	1	173
488.636	1	186
488.769	1	170
488.903	1	175
489.036	1	186
489.170	1	194
489.303	1	188
489.436	1	181
489.570	1	191
489.703	1	221
489.837	1	213
489.970	1	216
490.103	1	269
490.237	1	227
490.370	1	219
490.504	1	223
490.637	1	196
490.770	1	216
490.904	1	223
491.037	1	196
491.170	1	207
491.304	1	248
491.437	1	232
491.570	1	216
491.704	1	216
491.837	1	232
491.970	1	212
492.104	1	205
492.237	1	192
492.370	1	220
492.504	1	189
492.637	1	189
492.770	1	192
492.904	1	216
493.037	1	248
493.170	1	247
493.303	1	226
493.437	1	232
493.570	1	233
493.703	1	197
493.836	1	223
493.970	1	335
494.103	1	304
494.236	1	233
494.369	1	206
494.502	1	175
494.636	1	192
494.769	1	213
494.902	1	-174
495.035	1	138
495.168	1	201
495.301	1	201
495.435	1	207
495.568	1	205
495.701	1	206
495.834	1	199
495.967	1	206
496.100	1	239
496.234	1	225
496.367	1	186
496.500	1	192
496.633	1	209
496.766	1	235
496.899	1	206
497.032	1	195
497.165	1	208
497.298	1	219
497.431	1	199
497.565	1	214
497.698	1	218
497.831	1	216
497.964	1	185
498.097	1	186
498.230	1	197
498.363	1	201
498.496	1	221
498.629	1	213
498.762	1	242
498.895	1	239
499.028	1	204
499.161	1	208
499.294	1	259
499.427	1	251
499.560	1	292
499.693	1	280
499.826	1	256
499.959	1	260
500.092	1	243
500.225	1	216
500.358	1	241
500.491	1	239
500.624	1	234
500.757	1	231
500.889	1	247
501.022	1	251
501.155	1	272
501.288	1	244
501.421	1	257
501.554	1	580
501.687	1	834
501.820	1	619
501.953	1	313
502.086	1	245
502.218	1	250
502.351	1	237
